For,Against,Player,Zone,Foot,Assist,Marking,Result
Oxford,Blackburn,Marvin Johnson,6,S,O,4,O
Blackburn,Oxford,Darragh Lenihan,3,H,S,2,G
Blackburn,Oxford,Adam Armstrong,4,S,O,1,O
Blackburn,Oxford,Elliot Bennet,7,S,O,1,O
Blackburn,Oxford,Dominic Samuel,4,S,O,2,O
Oxford,Blackburn,James Henry,1,W,O,2,G
Blackburn,Oxford,Adam Armstrong,4,W,S,2,O
Blackburn,Oxford,Adam Armstrong,2,S,R,1,O
Blackburn,Oxford,Xemi Fernández,4,W,O,2,G
Charlton,Blackburn,Jason Pearce,6,W,S,1,G
Blackburn,Charlton,Jack Payne,5,S,O,2,O
Charlton,Blackburn,Ahmed Kashi,6,S,S,1,O
Blackburn,Charlton,Dominic Samuel,1,H,S,5,O
Blackburn,Charlton,Dominic Samuel,4,S,O,2,O
Charlton,Blackburn,Jake Forster-Caskey,6,S,R,2,O
