Opponent,Player,Zone,Foot,Assist,Marking,Result,,,
Walsall,C. Grant,6,S,S,5,B,,,
Walsall,OP,2,S,C,1,S,Zone,Foot,Assist
Walsall,Fox,6,S,O,2,O,1,S - Strong,O - open play
Walsall,OP,6,S,F,2,O,2,W - Weak,S - set piece
Walsall,Carey,6,S,O,2,B,3,H - Head,F - free kick shot
Walsall,Edwards,1,H,S,3,O,4,O - Other,C - counter
Walsall,OP,6,W,O,2,O,5,,P - penalty
Walsall,Taylor,1,S,O,3,O,6,Marking,D - dribble
Walsall,Lameiras,4,W,O,2,B,7,0 - open goal,R - rebound
Walsall,Smith-Brown,6,S,O,2,B,8,1 - unmarked,
Walsall,C. Grant,6,S,O,2,O,,2 - loose,Result
Walsall,OP,6,W,O,3,O,,3 - man,G - Goal
Walsall,Edwards,3,S,S,1,G,,4 - double,W - Woodwork
Walsall,Carey,6,S,O,2,B,,5 - surrounded ,S - Saved
Walsall,Lameiras,4,S,R,2,B,,,O - Off target
Walsall,OP,3,S,P,1,S,,,B - Blocked
Walsall,OP,1,S,R,1,G,,,
Walsall,OP,2,S,C,2,B,,,
Walsall,OP,3,H,S,2,O,,,
Walsall,Carey,7,S,O,2,S,,,
Walsall,Carey,4,S,O,2,S,,,
Walsall,OP,6,S,F,2,G,,,
Walsall,Carey,4,S,O,2,B,,,
Walsall,OP,6,S,O,2,O,,,
Walsall,Riley,4,H,O,2,B,,,
Walsall,Taylor,1,S,S,3,S,,,
Walsall,OP,4,S,C,2,B,,,
Walsall,OP,5,S,R,2,S,,,
Walsall,Edwards,2,H,S,3,O,,,
Walsall,OP,3,W,O,1,O,,,
Walsall,Carey,4,S,O,2,S,,,
Walsall,Ladapo,1,O,S,3,S,,,
Southend,OP,6,W,O,2,S,,,
Southend,Carey,6,S,F,2,B,,,
Southend,OP,6,S,O,2,B,,,
Southend,OP,5,S,O,1,S,,,
Southend,C. Grant,3,H,O,3,S,,,
Southend,Carey,3,S,P,1,G,,,
Southend,OP,6,W,O,2,S,,,
Southend,OP,6,S,R,2,S,,,
Southend,OP,3,S,P,1,G,,,
Southend,Carey,7,S,F,2,O,,,
Southend,OP,6,W,O,2,O,,,
Southend,OP,4,S,O,2,O,,,
Southend,OP,6,S,O,2,O,,,
Southend,OP,3,H,O,2,O,,,
Southend,OP,6,S,O,2,O,,,
Southend,Ladapo,4,S,O,2,O,,,
Southend,OP,4,S,O,2,O,,,
Bristol C,OP,6,S,O,2,S,,,
Bristol C,OP,6,S,O,2,S,,,
Bristol C,Ladapo,6,S,O,2,B,,,
Bristol C,Songo'o,1,H,S,1,G,,,
Bristol C,OP,6,S,S,2,B,,,
Bristol C,OP,6,S,F,2,O,,,
Bristol C,J Grant,4,S,O,2,O,,,
Bristol C,OP,3,S,O,2,B,,,
Bristol C,Ness,6,S,C,2,S,,,
Bristol C,OP,6,S,O,2,S,,,
Bristol C,OP,3,H,S,3,S,,,
Bristol C,OP,6,S,O,2,S,,,
Bristol C,OP,8,S,S,2,O,,,
Bristol C,OP,6,S,F,2,O,,,
Bristol C,OP,3,W,S,1,S,,,
Bristol C,OP,6,S,C,2,B,,,
Bristol C,OP,1,S,R,3,S,,,
Bristol C,OP,3,H,S,2,O,,,
Bristol C,OP,4,S,O,2,S,,,
Bristol C,OP,6,W,O,2,O,,,
Bristol C,OP,3,H,O,2,S,,,
Coventry,OP,4,S,O,2,S,,,
Coventry,OP,4,S,O,2,O,,,
Coventry,OP,4,S,C,1,S,,,
Coventry,OP,6,S,S,2,B,,,
Coventry,Carey,4,S,C,3,O,,,
Coventry,OP,6,S,O,2,B,,,
Coventry,Carey,3,S,O,4,B,,,
Coventry,OP,3,S,P,1,G,,,
Coventry,J Grant,6,S,D,2,B,,,
Coventry,Ladapo,3,S,R,4,O,,,
Coventry,Lameiras,6,S,O,2,S,,,
Coventry,OP,6,S,F,2,O,,,
Coventry,OP,6,W,C,2,B,,,
Coventry,OP,3,W,S,3,O,,,
Coventry,OP,8,S,C,2,O,,,
Coventry,Ladapo,3,S,C,4,B,,,
Coventry,Fox,4,S,O,2,S,,,
Coventry,OP,6,S,O,2,B,,,
Coventry,OP,6,S,C,2,S,,,
Coventry,OP,4,S,O,2,S,,,
Coventry,Taylor,3,H,O,3,O,,,
Coventry,OP,3,S,O,1,O,,,
Coventry,Ladapo,3,H,O,3,S,,,
Coventry,OP,3,S,O,3,S,,,
Coventry,Lameiras,6,S,O,2,B,,,
Coventry,Smith-Brown,4,W,O,2,S,,,
Wycombe,Ladapo,1,H,O,3,O,,,
Wycombe,Ladapo,6,S,C,3,G,,,
Wycombe,Carey,6,S,O,2,O,,,
Wycombe,OP,6,S,C,2,S,,,
Wycombe,C. Grant,6,S,O,2,S,,,
Wycombe,Fox,6,S,S,3,B,,,
Wycombe,OP,6,S,C,2,S,,,
Wycombe,Carey,6,S,O,2,S,,,
Wycombe,OP,8,S,O,2,O,,,
Wycombe,Carey,4,S,O,2,B,,,
Wycombe,Carey,4,S,O,2,B,,,
Wycombe,Carey,5,S,D,2,S,,,
Wycombe,OP,6,S,R,2,O,,,
Wycombe,OP,4,S,O,2,B,,,
Wycombe,OP,4,S,R,2,O,,,
Wycombe,OP,6,S,O,2,S,,,
Wycombe,Sarcevic,3,S,S,3,B,,,
Wycombe,Sarcevic,6,S,S,4,B,,,
Wycombe,Taylor,4,S,O,3,B,,,
Wycombe,Sarcevic,6,S,O,2,B,,,
Wycombe,Canavan,2,H,S,4,B,,,
Wycombe,Canavan,3,W,S,3,S,,,
Wycombe,OP,5,W,O,1,G,,,
Wycombe,OP,4,S,C,1,O,,,
Peterborough,OP,4,S,S,4,B,,,
Peterborough,OP,3,H,S,3,S,,,
Peterborough,OP,3,W,C,2,G,,,
Peterborough,OP,4,W,C,2,G,,,
Peterborough,Carey,4,H,O,3,S,,,
Peterborough,Carey,4,S,O,5,S,,,
Peterborough,Songo'o,3,H,S,4,O,,,
Peterborough,OP,4,S,O,1,O,,,
Peterborough,Songo'o,3,H,S,4,O,,,
Peterborough,Ladapo,3,S,O,2,O,,,
Peterborough,Sarcevic,4,S,O,2,O,,,
Peterborough,Ladapo,3,H,O,3,S,,,
Peterborough,Canavan,3,H,S,2,B,,,
Peterborough,Ladapo,3,S,S,2,O,,,
Peterborough,Sarcevic,6,S,O,2,B,,,
Peterborough,Ness,6,S,O,2,O,,,
Peterborough,OP,6,S,S,2,S,,,
Peterborough,Songo'o,3,H,S,4,O,,,
Peterborough,OP,3,S,C,1,G,,,
Peterborough,OP,3,S,O,1,G,,,
Peterborough,Carey,6,S,O,2,B,,,
Peterborough,Ladapo,3,W,O,2,S,,,
Peterborough,Ladapo,4,W,O,1,O,,,
Peterborough,Ladapo,3,S,S,3,S,,,
Peterborough,OP,3,S,P,1,G,,,
Peterborough,Sarcevic,6,S,D,2,O,,,
Peterborough,Ness,6,S,O,2,B,,,
Peterborough,Taylor,3,W,O,2,O,,,
